"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Salmonella_enterica_subsp_enterica_serovar_Agona_str_SL483_v1","Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SC-B67_v1","Salmonella_enterica_subsp_enterica_serovar_Dublin_str_CT_02021853_v1","Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_v1","Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91_v1","Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_SL476_v1","Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL254_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_ATCC_9150_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_C_strain_RKS4594_v1","Salmonella_enterica_subsp_enterica_serovar_Schwarzengrund_str_CVM19633_v1","Salmonella_enterica_subsp_enterica_serovar_Typhi_str_CT18_v1","Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2_v1"
"group_3052","","hypothetical protein","2","2","1","1","2569","1132","1","","122","155","138","","","","","","CP001120.6265","","","CP000886.7429___44868","","","",""
"group_3058","","putative ATPase component of ABC transporter with duplicated ATPase domain","2","2","1","1","1495","84","4","","221","221","221","","","","","","CP001120.7378","CP001113.7304","","","","","",""
"group_3059","","hypothetical protein","2","2","1","1","1790","176","2","","140","167","153","","","","","","CP001120.8685","","","CP000886.10154___47593","","","",""
"HCM1.246c","","conserved hypothetical protein","2","2","1","1","6346","1","1456","","134","320","227","","","","","","CP001120.9236","","","","","","pHCM1.510___59545",""
"HCM1.240","","hypothetical protein (pseudogene)","2","2","1","1","6351","1","1451","","254","311","282","","","","","","CP001120.9245","","","","","","pHCM1.500___59535",""
"group_3070","","phage integrase family protein","2","2","1","1","5890","1","1164","","176","221","198","","","","","","","CP000604.287","","","","CP001125.174","",""
"merT","","putative mercuric transport protein","2","2","1","1","6147","1","1391","","350","365","357","","","","","","","CP000604.355","","","","","pHCM1.308___59342",""
"group_3072","","hypothetical protein","2","2","1","1","3167","23","16","","143","191","167","","","","","","","CP001113.422","","CP000886.505___37944","","","",""
"group_3073","","phosphotriesterase","2","2","1","1","3269","2","93","","437","482","459","","","","","","","CP001113.634","","","","","","AE006468.900"
"group_3074","","conserved hypothetical protein","2","2","1","1","7505","1172","1","","146","146","146","","","","","","","CP001113.875","","","","CP001127.897","",""
"group_3077","","Gifsy-2 prophage protein","2","2","1","1","4194","1","2971","","236","299","267","","","","","","","CP001113.2056","","","","","","AE006468.3098"
"group_3080","","Gifsy-1 prophage protein","2","2","1","1","4154","1","2998","","152","293","222","","","","","","","","","","","CP001127.4456","","AE006468.7990"
"group_3081","","Gifsy-2 prophage protein","2","2","1","1","4224","1","2999","","152","290","221","","","","","","","CP001113.2075","","","","","","AE006468.3120"
"STY1353","","conserved hypothetical protein","2","2","1","1","4959","86","1","","977","1382","1179","","","","","","","CP001113.3579","","","","","AL513382.2569___51567",""
"group_3085","","hypothetical protein","2","2","1","1","8789","1","91","","131","131","131","","","","","","","CP001113.4236","","","","CP001127.4217","",""
"group_3087","","putative homolog of virulence protein MsgA","2","2","1","1","4308","1","1991","","188","221","204","","","","","","","CP001113.4761","","CP000886.1502___38941","","","",""
"group_3089","","conserved domain protein","2","2","1","1","2929","1","1941","","230","230","230","","","","","","","CP001113.5773","","","CP000857.1767","","",""
"group_3092","","glycoprotein 3","2","2","1","1","2699","1","1897","","695","737","716","","","","","","","CP001113.5799","","CP000886.6836___44275","","","",""
"group_3093","cI","phage immunity repressor protein","2","2","1","1","2710","1","1891","","194","371","282","","","","","","","CP001113.5807","CP000026.8580","","","","",""
"group_3099","","mannitol operon repressor","2","2","1","1","2442","1158","5","","509","521","515","","","","","","","CP001113.6501","","","","CP001127.6335","",""
"group_31","oadG","putative oxalacetate decarboxylase, subunit gamma","2","2","1","1","2773","13","15","","239","242","240","","AE017220.1711","","","","","","","","CP000857.1541","","",""
"group_3103","ratA","putative exported protein","2","2","1","1","4407","44","11","","6392","6392","6392","","","","","","","","CP000026.703","","","","AL513382.5535___54533",""
"group_3104","","hypothetical protein","2","2","1","1","5556","42","5","","191","191","191","","","","","","","","CP000026.1429","","CP000857.3148","","",""
"STY2357","","hypothetical protein","2","2","1","1","5532","14","22","","539","695","617","","","","","","","","CP000026.1445","","","","AL513382.4503___53501",""
"group_3107","","polar amino acid ABC transporter, periplasmic amino acid-binding protein","2","2","1","1","7071","1","2439","","770","770","770","","","","","","","","","CP000886.4284___41723","","CP001127.1390","",""
"STY1358","","integrase (fragment)","2","2","1","1","5209","1133","7","","344","401","372","","","","","","","","CP000026.2365","","","","AL513382.2580___51578",""
"STY1360","","hypothetical protein","2","2","1","1","5207","1133","6","","500","884","692","","","","","","","","CP000026.2371","","","","AL513382.2582___51580",""
"group_3112","aroD","3-dehydroquinate dehydratase","2","2","1","1","8307","1146","1","","716","758","737","","","","","","","","CP000026.2985","","","","AL513382.3307___52305",""
"STY1880","","hypothetical protein","2","2","1","1","8132","95","3","","164","164","164","","","","","","","","CP000026.3201","","","","AL513382.3527___52525",""
"STY1891","","putative pertussis-like toxin subunit","2","2","1","1","7084","54","14","","413","413","413","","","","","","","","CP000026.3219","","","","AL513382.3540___52538",""
"STY0313","","hypothetical protein","2","2","1","1","3202","2","118","","470","470","470","","","","","","","","CP000026.4949","","","","AL513382.662___49660",""
"STY0312","","probable secreted protein","2","2","1","1","3201","2","119","","473","473","473","","","","","","","","CP000026.4951","","","","AL513382.661___49659",""
"group_3122","","putative phage protein","2","2","1","1","2930","1","1696","","812","833","822","","","","","","","","CP000026.5245","","CP000857.1769","","",""
"STY3619","","putative membrane protein","2","2","1","1","1568","808","1","","353","353","353","","","","","","","","CP000026.7556","","","","AL513382.7378___56377",""
"STY4512","","hypothetical protein","2","2","1","1","712","211","3","","350","383","366","","","","","","","","CP000026.8246","","","","AL513382.9296___58297",""
"group_3130","","hypothetical protein","2","2","1","1","7404","1","2450","","266","266","266","","","","","","","","CP000026.8612","","","CP001127.1402","",""
"group_3131","","putative viral protein","2","2","1","1","3582","938","5","","140","347","243","","","","","","","","","CP000886.159___37598","","","","AE006468.196"
"group_3132","","hypothetical protein","2","2","1","1","3112","43","7","","122","155","138","","","","","","","","","CP000886.205___37644","CP000857.174","","",""
"group_3133","","putative fimbrial subunit","2","2","1","1","3446","40","16","","551","551","551","","","","","","","","","CP000886.435___37874","","CP001127.384","",""
"group_3134","","protein YadK","2","2","1","1","3157","598","8","","563","584","573","","","","","","","","","CP000886.457___37896","","CP001127.400","",""
"group_3135","","putative fimbrial protein","2","2","1","1","3159","598","10","","524","566","545","","","","","","","","","CP000886.461___37900","","CP001127.404","",""
"STY1014","","putative DNA methylase","2","2","1","1","4187","1","2931","","869","881","875","","","","","","","","","CP000886.1950___39389","","","AL513382.1981___50978",""
"STY1033","","putative bacteriophage protein","2","2","1","1","4233","1","3002","","239","305","272","","","","","","","","","CP000886.1990___39429","","","AL513382.2002___50999",""
"group_3141","","hypothetical protein","2","2","1","1","6552","264","1","","131","134","132","","","","","","","","","CP000886.2143___39582","CP000857.3370","","",""
"group_3143","","hypothetical protein","2","2","1","1","9018","1","2290","","185","197","191","","","","","","","","","CP000886.2614___40053","CP000857.3713","","",""
"group_3144","","putative inner membrane protein","2","2","1","1","5274","613","2","","155","314","234","","","","","","","","","CP000886.2995___40434","","","","AE006468.5277"
"group_3145","","hypothetical protein","2","2","1","1","5006","80","11","","146","158","152","","","","","","","","","CP000886.3423___40862","","CP001127.3327","",""
"group_3146","","hypothetical protein","2","2","1","1","7947","7","11","","152","152","152","","","","","","","","","CP000886.3532___40971","CP000857.4382","","",""
"group_3147","","hypothetical protein","2","2","1","1","8403","703","1","","167","167","167","","","","","","","","","CP000886.3740___41179","","CP001127.3038","",""
"group_3148","","hypothetical protein","2","2","1","1","7070","1","2339","","134","158","146","","","","","","","","","CP000886.4290___41729","","CP001127.1387","",""
"group_3149","","probable phage tail fiber protein","2","2","1","1","4293","1","2341","","1094","1094","1094","","","","","","","","","CP000886.4294___41733","","CP001127.8755","",""
"group_3150","","hypothetical protein","2","2","1","1","4861","1","2051","","332","554","443","","","","","","","","","CP000886.4342___41781","","CP001127.4438","",""
"STY1045","","putative bacteriophage protein","2","2","1","1","6793","1","2898","","227","260","243","","","","","","","","","CP000886.4482___41921","","","AL513382.2014___51011",""
"group_3152","","hypothetical protein","2","2","1","1","2808","619","1","","167","275","221","","","","","","","","","CP000886.5445___42884","CP000857.1605","","",""
"group_3153","","hypothetical protein","2","2","1","1","7745","248","1","","251","251","251","","","","","","","","","CP000886.5896___43335","CP000857.1255","","",""
"group_3155","","hypothetical protein","2","2","1","1","2605","18","1","","137","137","137","","","","","","","","","CP000886.7334___44773","CP000857.6011","","",""
"group_3156","","hypothetical protein","2","2","1","1","49","818","2","","131","155","143","","","","","","","","","CP000886.7809___45248","","CP001127.6450","",""
"group_3161","","putative cytoplasmic protein","2","2","1","1","254","24","12","","236","302","269","","","","","","","","","CP000886.11134___48573","","","","AE006468.13537"
"group_3163","","conserved hypothetical protein","2","2","1","1","3864","1","1794","","233","233","233","","","","","","","","","CP000886.11308___48747","","CP001127.9265","",""
"group_3164","","hypothetical protein","2","2","1","1","3042","8","1","","194","194","194","","","","","","","","","CP000886.11370___48809","CP000857.9360","","",""
"group_3170","","gp62","2","2","1","1","7106","1","2549","","128","128","128","","","","","","","","","","CP000857.2590","CP001127.1211","",""
"group_3171","","hypothetical protein","2","2","1","1","7105","1","2548","","140","149","144","","","","","","","","","","CP000857.2592","CP001127.1213","",""
"STY2516","","hypothetical protein","2","2","1","1","4330","119","7","","203","203","203","","","","","","","","","","CP000857.2874","","AL513382.4925___53923",""
"STY4521","","hypothetical protein","2","2","1","1","702","1","1539","","950","1034","992","","","","","","","","","","CP000857.8825","","AL513382.9312___58313",""
"STY4524","","hypothetical protein","2","2","1","1","699","1","1542","","146","305","225","","","","","","","","","","CP000857.8831","","AL513382.9317___58318",""
"STY4525","","hypothetical protein","2","2","1","1","698","1","1543","","581","680","630","","","","","","","","","","CP000857.8833","","AL513382.9318___58319",""
"STY4526","","hypothetical protein","2","2","1","1","697","1","1544","","422","557","489","","","","","","","","","","CP000857.8835","","AL513382.9319___58320",""
"pilO","","putative pilus assembly protein","2","2","1","1","3889","1","1554","","1142","1295","1218","","","","","","","","","","CP000857.8860","","AL513382.9340___58341",""
"pilP","","pilus assembly protein","2","2","1","1","3890","1","1555","","380","470","425","","","","","","","","","","CP000857.8862","","AL513382.9341___58342",""
"STY4557","","hypothetical protein","2","2","1","1","3901","1","1566","","914","947","930","","","","","","","","","","CP000857.8872","","AL513382.9359___58360",""
"STY4561","","hypothetical protein","2","2","1","1","3905","1","1570","","380","569","474","","","","","","","","","","CP000857.8880","","AL513382.9363___58364",""
"STY4563","","hypothetical protein","2","2","1","1","3907","1","1572","","560","758","659","","","","","","","","","","CP000857.8884","","AL513382.9366___58367",""
"STY4564","","hypothetical protein","2","2","1","1","3908","1","1573","","254","272","263","","","","","","","","","","CP000857.8886","","AL513382.9367___58368",""
"STY4565","","hypothetical protein","2","2","1","1","3909","1","1574","","233","239","236","","","","","","","","","","CP000857.8888","","AL513382.9368___58369",""
"STY4566","","hypothetical protein","2","2","1","1","3910","1","1576","","314","362","338","","","","","","","","","","CP000857.8890","","AL513382.9369___58370",""
"STY4568","","possible exported protein","2","2","1","1","3912","1","1577","","569","653","611","","","","","","","","","","CP000857.8894","","AL513382.9370___58371",""
"STY4577","","hypothetical protein","2","2","1","1","3919","1","1586","","1397","1430","1413","","","","","","","","","","CP000857.8908","","AL513382.9381___58382",""
"STY4582","","possible exported protein","2","2","1","1","3923","1","1590","","122","359","240","","","","","","","","","","CP000857.8916","","AL513382.9385___58386",""
"STY4587","","hypothetical protein","2","2","1","1","3931","1","1595","","335","509","422","","","","","","","","","","CP000857.8928","","AL513382.9391___58392",""
"STY4589","","hypothetical protein","2","2","1","1","3932","1","1598","","401","584","492","","","","","","","","","","CP000857.8934","","AL513382.9394___58395",""
"STY4595","","conserved hypothetical protein","2","2","1","1","3938","1","1604","","326","359","342","","","","","","","","","","CP000857.8946","","AL513382.9400___58401",""
"STY4596","","hypothetical protein","2","2","1","1","3939","1","1605","","155","269","212","","","","","","","","","","CP000857.8948","","AL513382.9401___58402",""
"group_3193","","mutagenesis by UV and mutagens-related protein","2","2","1","1","3941","1","1607","","206","344","275","","","","","","","","","","CP000857.8952","","AL513382.9404",""
"STY4648","","hypothetical protein","2","2","1","1","3974","1","373","","281","287","284","","","","","","","","","","CP000857.8956","","AL513382.9465___58467",""
"vexC","","Vi polysaccharide export ATP-binding protein","2","2","1","1","3969","1","368","","641","695","668","","","","","","","","","","CP000857.8966","","AL513382.9470___58472",""
"tviA","","Vi polysaccharide biosynthesis protein","2","2","1","1","3960","1","359","","431","539","485","","","","","","","","","","CP000857.8980","","AL513382.9490___58492",""
"orf7","","putative bacterial regulatory protein","2","2","1","1","537","1","697","","335","350","342","","","","","","","","","","CP000858.65","","","AE006471.25"
"group_3198","","putative phospholipase D","2","2","1","1","539","1","686","","131","443","287","","","","","","","","","","CP000858.78","","","AE006471.5"
"merC","","mercuric resistance protein MerC","2","2","1","1","6251","1","1434","","422","461","441","","","","","","","","","","","CP001125.158","pHCM1.477___59512",""
"group_3200","","Fels-1 prophage protease subunits of ATP-dependent proteases","2","2","1","1","7826","1","2185","","2069","2186","2127","","","","","","","","","","","CP001127.1354","","AE006468.2772"
"group_3201","","prophage minor tail protein Z","2","2","1","1","7824","1","2182","","584","584","584","","","","","","","","","","","CP001127.1360","","AE006468.2778"
"STY1499","","conserved hypothetical protein","2","2","1","1","5027","1136","2","","635","704","669","","","","","","","","","","","CP001127.3284","AL513382.2847___51845",""
"STY2897","","conserved hypothetical protein","2","2","1","1","2652","820","3","","1052","1100","1076","","","","","","","","","","","CP001127.5700","AL513382.5934___54932",""
"STY3669","","hypothetical protein","2","2","1","1","9165","1","232","","188","188","188","","","","","","","","","","","","AL513382.7479___56479","AE006468.8291"
"group_3279","","conserved hypothetical protein","2","2","1","1","3129","92","1","","971","971","971","CP001138.352","","","","","CP001120.334","","","","","","",""
"group_328","","conserved hypothetical protein","2","2","1","1","9077","1","3025","","503","551","527","","AE017220.2670","","","","","","","","","CP001127.8707","",""
"group_3280","","hypothetical protein","2","2","1","1","3130","92","2","","1088","1088","1088","CP001138.354","","","","","CP001120.336","","","","","","",""
"group_3281","","conserved hypothetical protein","2","2","1","1","3132","92","4","","932","932","932","CP001138.358","","","","","CP001120.340","","","","","","",""
"group_3282","","aconitate hydratase","2","2","1","1","3134","92","9","","179","179","179","CP001138.362","","","","","CP001120.344","","","","","","",""
"group_3307","","hypothetical protein","2","2","1","1","3258","2","111","","158","158","158","CP001138.627","","","","","","CP001113.645","","","","","",""
"group_3308","","hypothetical protein","2","2","1","1","3257","2","102","","125","125","125","CP001138.633","","","","","","","","","","CP001127.645","",""
"group_3389","","type VI secretion system lysozyme-related protein","2","2","1","1","8826","1","146","","416","416","416","CP001138.2175","","CP001144.2374","","","","","","","","","",""
"group_3394","","hypothetical protein","2","2","1","1","8846","1","168","","122","122","122","CP001138.2200","","","","","","","","CP000886.2304___39743","","","",""
"group_348","","hypothetical protein","2","2","1","1","6156","1","1202","","1592","1718","1655","","AY509004.94","","","","","","","","","CP001125.195","",""
"group_3486","","conserved hypothetical protein","2","2","1","1","8144","95","7","","191","191","191","CP001138.3805","","","","","","","","","","CP001127.2606","",""
"group_3493","","hypothetical protein","2","2","1","1","8724","263","2","","143","143","143","CP001138.4015","","","","","","","","","","CP001127.2370","",""
"group_3527","","integrase","2","2","1","1","5481","1","42","","302","302","302","CP001138.4154","","","","","","CP001113.4284","","","","","",""
"group_3528","","arsenical pump-driving ATPase","2","2","1","1","5482","1","40","","1760","1760","1760","CP001138.4157","","","","","","CP001113.4288","","","","","",""
"group_3529","","arsenical resistance operon trans-acting repressor ArsD","2","2","1","1","5483","1","39","","362","362","362","CP001138.4159","","","","","","CP001113.4290","","","","","",""
"group_3530","","arsenate reductase","2","2","1","1","5484","1","38","","476","476","476","CP001138.4161","","","","","","CP001113.4292","","","","","",""
"group_3531","","hypothetical protein","2","2","1","1","5486","1","36","","131","131","131","CP001138.4166","","","","","","","","","","CP001127.4254","",""
"group_3532","","transcriptional regulator, LysR family","2","2","1","1","5487","1","35","","878","878","878","CP001138.4168","","","","","","","","","","CP001127.4256","",""
"gap","","glyceraldehyde-3-phosphate dehydrogenase, type I","2","2","1","1","5488","1","34","","995","995","995","CP001138.4170","","","","","","","","","","CP001127.4258","",""
"group_3534","","transporter, EamA family","2","2","1","1","5489","1","33","","962","962","962","CP001138.4172","","","","","","","","","","CP001127.4260","",""
"group_3535","","putative AMP-binding enzyme","2","2","1","1","5490","1","32","","1496","1496","1496","CP001138.4174","","","","","","","","","","CP001127.4262","",""
"group_3536","","lysine decarboxylase","2","2","1","1","5491","1","31","","1382","1382","1382","CP001138.4176","","","","","","","","","","CP001127.4264","",""
"group_3538","","hypothetical protein","2","2","1","1","5493","1","29","","167","167","167","CP001138.4180","","","","","","","","","","CP001127.4266","",""
"group_360","tnpA","transposase","2","2","1","1","1944","1","300","","413","458","435","","","","","","","","CP000026.7468","","","","AL513382.7526___56526",""
"group_3611","","putative phage tail fiber assembly protein","2","2","1","1","2968","1","1970","","530","530","530","CP001138.5445","","","","","CP001120.6809","","","","","","",""
"group_3635","","hypothetical protein","2","2","1","1","4032","882","1","","146","146","146","CP001138.5525","","","","","","","","","","CP001127.5606","",""
"group_3636","","hypothetical protein","2","2","1","1","4029","62","1","","152","152","152","CP001138.5548","","","","","","","","CP000886.6810___44249","","","",""
"group_3637","","hypothetical protein","2","2","1","1","4113","1","287","","143","143","143","CP001138.5561","","CP001144.5827","","","","","","","","","",""
"group_3641","","putative phage tail fiber assembly protein","2","2","1","1","4123","1","286","","527","527","527","CP001138.5576","","CP001144.5842","","","","","","","","","",""
"group_365","","","2","2","1","1","3025","1","1740","","377","377","377","","","","AM933172.8539___11401","AM933173.8101___30091","","","","","","","",""
"group_3656","","retron EC67 DNA adenine methylase","2","2","1","1","9167","1","329","","857","857","857","CP001138.5628","","","","","","","","","","","","AE006468.8297"
"group_3676","cse","putative cytoplasmic protein","2","2","1","1","2618","11","18","","1559","1559","1559","CP001138.6011","","","","","","","","","CP000857.5976","","",""
"group_3727","","hypothetical protein","2","2","1","1","79","30","2","","128","128","128","CP001138.6735","","","","","CP001120.6956","","","","","","",""
"group_3788","","hypothetical protein","2","2","1","1","1100","64","1","","131","131","131","CP001138.7812","","","","","","","","","","CP001127.7745","",""
"group_3818","","hypothetical protein","2","2","1","1","2017","123","1","","128","128","128","CP001138.8222","","","","","CP001120.8410","","","","","","",""
"group_3819","","hypothetical protein","2","2","1","1","2015","123","3","","146","146","146","CP001138.8224","","CP001144.8375","","","","","","","","","",""
"group_3874","","inner membrane protein YagU","2","2","1","1","154","821","2","","557","557","557","CP001138.9128","","","","","","","","","","CP001127.9089","",""
"group_3905","","phage immunity repressor protein","2","2","1","1","7356","1","2406","","176","176","176","CP001138.9348","","","","","","","","","","CP001127.727","",""
"group_3909","","zinc-binding domain protein, primase-helicase family","2","2","1","1","7360","1","2410","","2672","2672","2672","CP001138.9356","","","","","","","","","","CP001127.735","",""
"group_3936","","hypothetical protein","2","2","1","1","3781","865","1","","191","191","191","CP001138.9443","","","","","","","","CP000886.11318___48757","","","",""
"group_3951","","hypothetical protein","2","2","1","1","3099","12","10","","347","347","347","","AE017220.70","","","","","","","","CP000857.68","","",""
"group_3955","","hypothetical protein","2","2","1","1","3120","285","2","","143","143","143","","AE017220.253","","","","","","","CP000886.293___37732","","","",""
"group_3968","","hypothetical protein","2","2","1","1","3218","2","17","","308","308","308","","AE017220.626","","","","","","","","CP000857.610","","",""
"group_3969","yjiW","orf, partial conserved hypothetical protein","2","2","1","1","3217","2","16","","257","257","257","","AE017220.628","","","","","","","","CP000857.612","","",""
"exoD","","Endodeoxyribonuclease","2","2","1","1","7137","1","2690","","548","548","548","","AE017220.731","","","","","","","","CP000857.2564","","",""
"group_3979","","hypothetical protein","2","2","1","1","7131","1","2678","","707","707","707","","AE017220.735","","","","","","","","CP000857.2568","","",""
"group_3987","","holin-like protein","2","2","1","1","7238","1","2650","","317","323","320","","AE017220.767","","","","","","","","CP000857.2608","","",""
"group_3989","lycV","lysin","2","2","1","1","7236","1","2649","","473","476","474","","AE017220.771","","","","","","","","CP000857.2610","","",""
"group_3998","","DNA stabilization protein","2","2","1","1","7209","1","2562","","1418","1418","1418","","AE017220.791","","","","","","","","CP000857.2628","","",""
"group_3999","","Packaged DNA stabilization protein gp26","2","2","1","1","7210","1","2563","","638","638","638","","AE017220.793","","","","","","","","CP000857.2630","","",""
"group_4001","","injection protein","2","2","1","1","7213","1","2568","","1913","1913","1913","","AE017220.801","CP001144.1254","","","","","","","","","",""
"group_4003","","conserved hypothetical protein","2","2","1","1","7682","1","2383","","329","329","329","","AE017220.805","CP001144.1256","","","","","","","","","",""
"group_4005","gtrB","Bactoprenol glucosyl transferase homolog from prop","2","2","1","1","7688","1","2433","","926","926","926","","AE017220.811","","","","","","","","CP000857.1142","","",""
"group_4011","yfdH","putative glycosyltransferase","2","2","1","1","7692","1","2472","","926","926","926","","AE017220.1322","","","","","","","","CP000857.1156","","",""
"group_4012","","hypothetical protein","2","2","1","1","7679","1","2471","","1586","1586","1586","","AE017220.1312","","","","","","","","CP000857.1154","","",""
"group_4027","","hypothetical protein","2","2","1","1","4183","1","2958","","932","932","932","","AE017220.2152","","","","","","","","CP000857.2039","","",""
"group_4074","","unknown protein encoded by prophage CP-933X","2","2","1","1","6691","1","2314","","515","515","515","","AE017220.2719","","","","","CP001113.2138","","","","","",""
"group_4096","","hypothetical protein","2","2","1","1","8428","201","4","","245","245","245","","AE017220.3259","","","","","","","CP000886.3694___41133","","","",""
"group_4098","yciF","hypothetical protein","2","2","1","1","7943","266","2","","197","197","197","","AE017220.3349","","","","","","","","CP000857.4434","","",""
"group_4100","","hypothetical protein","2","2","1","1","7986","968","1","","197","197","197","","AE017220.3380","","","","","","","","CP000857.4404","","",""
"insB","","IS1 transposase","2","2","1","1","6100","1","1381","","503","503","503","","AE017220.4022","","","","","","","","","","pHCM1.287___59321",""
"group_4116","int","putative phage integrase protein","2","2","1","1","8984","1","2286","","728","740","734","","AE017220.4120","","","","","","","","CP000857.3705","","",""
"fliC","","Flagellar synthesis: phase 2 flagellin (filament structural protein)","2","2","1","1","5445","19","30","","1505","1505","1505","","AE017220.4310","","","","","","","","CP000857.3528","","",""
"group_4126","","hypothetical protein","2","2","1","1","5479","1","44","","170","170","170","","AE017220.4452","","","","","","","","CP000857.3414","","",""
"group_4128","","putative cytoplasmic protein","2","2","1","1","6519","1","1974","","146","146","146","","AE017220.4558","","","","","","","","CP000857.3308","","",""
"group_413","nfsA","oxygen-insensitive NADPH nitroreductase","2","2","1","1","2904","335","2","","182","722","452","","","","AM933172.2775___3731","","","","","","CP000857.1837","","",""
"group_4130","","putative 12 transmembrane segment protein","2","2","1","1","5505","1","506","","1526","1526","1526","","AE017220.4594","","","","","","","","CP000857.3273","","",""
"group_4131","manC","phosphomannomutase in colanic acid gene cluster","2","2","1","1","5503","1","508","","1418","1418","1418","","AE017220.4598","","","","","","","","CP000857.3269","","",""
"group_4132","","hypothetical protein","2","2","1","1","5502","1","509","","1232","1232","1232","","AE017220.4600","","","","","","","","CP000857.3267","","",""
"group_4133","","hypothetical protein","2","2","1","1","5501","1","510","","1007","1007","1007","","AE017220.4602","","","","","","","","CP000857.3265","","",""
"group_4134","","hypothetical protein","2","2","1","1","5500","1","511","","1001","1001","1001","","AE017220.4604","","","","","","","","CP000857.3263","","",""
"group_4135","","O-antigen polymerase","2","2","1","1","6463","1","512","","1079","1079","1079","","AE017220.4606","","","","","","","","CP000857.3261","","",""
"group_4137","","hypothetical protein","2","2","1","1","5541","14","37","","743","743","743","","AE017220.4689","","","","","","","","CP000857.3178","","",""
"group_4138","insA","hypothetical protein","2","2","1","1","5542","14","36","","134","134","134","","AE017220.4691","","","","","","","","CP000857.3176","","",""
"group_4140","","hypothetical protein","2","2","1","1","5543","14","5","","377","377","377","","AE017220.4695","","","","","","","","CP000857.3172","","",""
"yibG","","Hypothetical protein yibG precursor","2","2","1","1","5547","14","9","","365","365","365","","AE017220.4702","","","","","","","","CP000857.3166","","",""
"yibJ","","hypothetical protein","2","2","1","1","5548","14","10","","737","737","737","","AE017220.4704","","","","","","","","CP000857.3164","","",""
"group_4145","","hypothetical protein","2","2","1","1","5549","14","11","","533","533","533","","AE017220.4707","","","","","","","","CP000857.3162","","",""
"group_4146","","hypothetical protein","2","2","1","1","5550","14","12","","440","443","441","","AE017220.4709","","","","","","","","CP000857.3160","","",""
"group_4155","","hypothetical protein","2","2","1","1","4380","822","1","","206","206","206","","AE017220.5344","","","","","","","","CP000857.2447","","",""
"group_4158","","hypothetical protein YPMT169","2","2","1","1","4400","48","15","","263","263","263","","AE017220.5493","","","","","","","","CP000857.2311","","",""
"group_4159","int","site-specific recombinase, phage integrase family","2","2","1","1","4405","48","10","","260","260","260","","AE017220.5501","","","","","","","","CP000857.2303","","",""
"tfa","","putative phage tail fiber protein","2","2","1","1","6761","1","1620","","416","416","416","","AE017220.5660","","","","","","","","CP000857.2137","","",""
"group_4165","","hypothetical protein","2","2","1","1","6772","1","2835","","785","785","785","","AE017220.5674","","","","","","","","CP000857.2125","","",""
"group_4166","","hypothetical protein","2","2","1","1","6770","1","2837","","158","158","158","","AE017220.5678","","","","","","","","CP000857.2121","","",""
"group_4176","","hypothetical protein","2","2","1","1","4277","1","3016","","524","524","524","","AE017220.5722","","","","","","","","CP000857.2077","","",""
"group_418","","""putative membrane protein""","2","2","1","1","8810","1","99","","1235","1391","1313","CP001138.2145","","","AM933172.3361___4506","","","","","","","","",""
"group_4181","","unknown protein encoded within prophage CP-933O","2","2","1","1","4220","1","2986","","281","281","281","","AE017220.5753","","","","","","","","CP000857.5458","","",""
"ead","","Ead protein","2","2","1","1","4218","1","2984","","263","263","263","","AE017220.5758","","","","","","","","CP000857.5462","","",""
"prpO","","Gifsy-1 prophage protein","2","2","1","1","4204","1","2979","","983","983","983","","AE017220.5766","","","","","","","","","","","AE006468.8001"
"group_4190","","hypothetical protein","2","2","1","1","4111","1","1840","","314","314","314","","AE017220.5911","","","","","","","","CP000857.5605","","",""
"insM","","conserved hypothetical protein","2","2","1","1","4109","1","1842","","839","839","839","","AE017220.5916","","","","","","","","CP000857.5609","","",""
"group_4192","","reverse transcriptase-like protein","2","2","1","1","2715","1","1844","","959","959","959","","AE017220.5918","","","","","","","","CP000857.5613","","",""
"group_4195","","hypothetical protein","2","2","1","1","2657","202","1","","338","338","338","","AE017220.5946","","","","","","","","CP000857.5638","","",""
"group_4199","tnpA","putative transposase","2","2","1","1","9424","11","30","","548","548","548","","AE017220.6297","","","","","","","","CP000857.5974","","",""
"group_4216","","hypothetical protein","2","2","1","1","2161","322","2","","317","317","317","","AE017220.7101","","","","","","","","CP000857.6757","","",""
"group_4221","","hypothetical protein","2","2","1","1","1369","135","1","","518","518","518","","AE017220.7653","","","","","","","","CP000857.7287","","",""
"group_4222","","orf; hypothetical protein","2","2","1","1","1368","135","2","","269","269","269","","AE017220.7655","","","","","","","","CP000857.7289","","",""
